State,Visits,Value
000000000000000000000000000000000000000102,9,-0.11111111111111108
000000000000000000000000000000000001002102,1,1.0
000000000000000000000000200000010001002102,1,1.0
000000000000000000000000200010010021002102,1,1.0
000000000000000000000000220010011021002102,1,1.0
000000000000002000000100220010011021002102,1,1.0
000000020000002001000100220010011021002102,1,1.0
000000020000002001200100220110011021002102,1,1.0
000000020020002001200100220110011021002112,1,1.0
000000020020002001200100222110011121002112,1,1.0
000000000000000000000000000000000000000012,3,-0.33333333333333337
000000000000000000000000000000000000021012,2,0.0
000000000000000000000000000000020100021012,1,-1.0
000000000000000000000000102000020100021012,1,-1.0
000000000000000000020000102000020110021012,1,-1.0
000000000000200000020000102000020110021112,1,-1.0
000001000000200000020000102200020110021112,1,-1.0
000001000000200000020000102200122110021112,1,-1.0
000001000000200000022000112200122110021112,1,-1.0
000001000000220000122000112200122110021112,1,-1.0
000000000000000000000000000000000000001200,17,-0.17647058823529416
000000000000000000000000000000020000001201,2,0.0
000000000000000000000000000000021002001201,1,-1.0
000000000000000000000000120000021002001201,1,-1.0
000000000000000000100000120000021002201201,1,-1.0
000000000000000000100000120002021012201201,1,-1.0
000000000000000000100010120022021012201201,1,-1.0
000000000000000000102010120122021012201201,1,-1.0
000000000001020000102010120122021012201201,1,-1.0
000000000001020000102010120122021012221211,1,-1.0
000000200001020000102010120122121012221211,1,-1.0
000000200001020000102211120122121012221211,1,-1.0
000000000000000000000000000200000010000012,1,-1.0
000000000000000000000000000200000110020012,1,-1.0
000000000000000000000000001200000110220012,1,-1.0
000000000000000000000000000000000000001020,10,-0.8
000000000000000000000000200000010000001020,2,-1.0
000000000000000001000000200000010000021020,1,-1.0
000000000000000001000000200000210100021020,1,-1.0
000000000010000001000002200000210100021020,1,-1.0
000000000010000011000002200000210100221020,1,-1.0
000000000010000011020002201000210100221020,1,-1.0
000000000210000011020002201000210100221021,1,-1.0
000000000210000011020002201200210110221021,1,-1.0
000000000210000011021002201202210110221021,1,-1.0
000200000210000011021012201202210110221021,1,-1.0
000200000210210011021012201202210110221021,1,-1.0
000200000210210211021012201202210110221121,1,-1.0
000200100210210211021012201202212110221121,1,-1.0
000000000000000000000000000000000000000201,6,-0.3333333333333333
000000000000000000000000000000001000200201,2,0.0
000000000000000000000000000002001000200211,1,1.0
000000000000000000000000010002001000202211,1,1.0
000000000000000000200000010002001000212211,1,1.0
000000000000000000200010010002201000212211,1,1.0
000000000000000000200010010002201210212211,1,1.0
000000000000000000200011010202201210212211,1,1.0
000000000000000200200011010202201211212211,1,1.0
000000000000000210200011010222201211212211,1,1.0
000000000000000210200011011222221211212211,1,1.0
000000000000000000000000000000000001000200,4,0.5
000000000000000000000000000000002001001200,2,1.0
000000000000000000000000020000012001001200,1,1.0
000000000000000000200000020000012001101200,1,1.0
000000000000000000000000000000000000010200,3,-0.33333333333333337
000000000000000000000000000000000000210201,1,-1.0
000000000000000000000000000000201000210201,1,-1.0
000000000000000000000000010000201020210201,1,-1.0
000000000000000000000000010002201020211201,1,-1.0
000000000000000000100020010002201020211201,1,-1.0
000000000000000000000000000000000000020001,2,0.0
000000000000000000000000000000000010022001,1,1.0
000000000000000000000000000000000011022201,1,1.0
000000000000000000000000000100000011022221,1,1.0
000000000000000000000000000000000000020100,4,0.0
000000000000000000000000000000000000122100,1,-1.0
000000000000000000000000000000210000122100,1,-1.0
000000000000000000000001000000210000122102,1,-1.0
000000000000000000000001000001210020122102,1,-1.0
000000000000000010000001000201210020122102,1,-1.0
000000000200000010001001000201210020122102,1,-1.0
000000000200000010001001200201211020122102,1,-1.0
000000000220000011001001200201211020122102,1,-1.0
000000000220000011001001210201211022122102,1,-1.0
000000000000000000000000000000000000210102,4,-1.0
000000000000000000000000000001200000210102,1,-1.0
000000000000000000000000000001200020210112,1,-1.0
000000000000000000000000000000000000001002,8,-0.25
000000000000000000000000000000000000001122,1,1.0
000000000000000000000000000000000100201122,1,1.0
000000000000000000000000000000021100201122,1,1.0
000000000000000000000000002000021110201122,1,1.0
000000000000000000200000012000021110201122,1,1.0
000000000002000000200000112000021110201122,1,1.0
000000000002000001200000112000021110221122,1,1.0
000000000022000001210000112000021110221122,1,1.0
000000000022000001210002112000121110221122,1,1.0
000000000222000011210002112000121110221122,1,1.0
000000000222200011210002112100121110221122,1,1.0
000000000000000000000000000000000000120000,5,0.2
000000000000000000000000000002000000120010,2,0.0
000000000000000000000010000002000200120010,1,1.0
000000000000000000000010000002200201120010,1,1.0
000000000000000100000010002002200201120010,1,1.0
000000000000000100020010002002200201120110,1,1.0
000000000000200100020010002002200201120111,1,1.0
000000000000000000000000000000000000102000,5,0.6
000000000000000000000000000000000200102010,1,1.0
000000000000000000000020000001000200102010,1,1.0
000000000000000000000020000001020200102011,1,1.0
000000000000000200000020100001020200102011,1,1.0
000000000000000200020020101001020200102011,1,1.0
000000002000000200020020101001020210102011,1,1.0
020000002000000200020020101101020210102011,1,1.0
000000000000000000000000000000000000010020,4,-0.5
000000000000000000000000000000200000010021,1,-1.0
000000000000000000000000000000200102010021,1,-1.0
000000000000000000000001000020200102010021,1,-1.0
000000000000000000000101000020200122010021,1,-1.0
000000000000000000000101002020200122011021,1,-1.0
000000000000000000000101002020220122111021,1,-1.0
000000000000000000000000000000002000120100,1,1.0
000000000000000000000000000000002000122101,1,1.0
000000000000000000000000000000202010122101,1,1.0
000000000000000000000000020000212010122101,1,1.0
000000000000000000002000020100212010122101,1,1.0
000000000000000000202000120100212010122101,1,1.0
000000000002000000202001120100212010122101,1,1.0
000000000000000000000000000000002000000100,5,0.6
000000000000000000000000020000002000000110,1,1.0
000000000000000000000000020000002000012110,1,1.0
000000000000000000100000020000202000012110,1,1.0
000000000000000000100000020000202100012112,1,1.0
000000000000000000120000021000202100012112,1,1.0
000000000000000000120001021000222100012112,1,1.0
000000000000000010120001221000222100012112,1,1.0
000000000000000011120001221000222120012112,1,1.0
000000000000000011120001221200222121012112,1,1.0
000000000000000011122001221210222121012112,1,1.0
000000000000000000000000000000000000002010,9,-0.11111111111111112
000000000000000000000000000000000200002110,2,0.0
000000000000000000000000002000010200002110,1,-1.0
000000000000000000000000102000010200022110,1,-1.0
000000000000000000000000102000210200122110,1,-1.0
000000000000000000000001102000212200122110,1,-1.0
000000000000000001020001102000212200122110,1,-1.0
000000000000000000000000000000000000202110,3,0.3333333333333333
000000000000000000000000000000200000212110,1,-1.0
000000000000000000000001000000200000212112,1,-1.0
000000000000000000000001000000212000212112,1,-1.0
000000000000000000000001120000212000212112,1,-1.0
000000000000000000100001120000212200212112,1,-1.0
000000000000000001100001120002212200212112,1,-1.0
000000000000000000000000000000000000021000,6,-2.7755575615628914e-17
000000000000000000000000000000100000021200,1,-1.0
000000000000000000000000200000110000021200,1,-1.0
000000000000000000000000220000111000021200,1,-1.0
000000000000000000000000220002111000121200,1,-1.0
000000000000000002000010220002111000121200,1,-1.0
000000000020000002000010220002111001121200,1,-1.0
000100000020000002000010220002111001121202,1,-1.0
000100000020000002000011220002111001121222,1,-1.0
000000000000000000000000000000000000100020,1,-1.0
000000000000000000000000000000000000110220,1,-1.0
000000000000000000000000000000020000111220,1,-1.0
000000000000000000000000000000000000000120,3,-0.3333333333333333
000000000000000000000000020000001000000120,1,-1.0
000000000000000000000000020000001000210120,2,-1.0
000000000000000000200000020000101000210120,1,-1.0
000000000002000000200000020001101000210120,1,-1.0
000010000002000000200000020001101000210122,1,-1.0
000010000002000000200020020001101000211122,1,-1.0
000000000000000000000000000000000000200100,3,0.33333333333333337
000000000000000000000000000000002000201100,2,0.0
000000000000000000000000000000012000201120,1,1.0
000000000000000000000000210000012000201120,1,1.0
000000000000000000200000210000012000201121,1,1.0
000000000000000002200000210000012100201121,1,1.0
000000000010000002200000210000012100221121,1,1.0
000200000010000002200000210000112100221121,1,1.0
000200000010000002200002210000112110221121,1,1.0
000200000010000012200002210002112110221121,1,1.0
000200000011000012200002210002112112221121,1,1.0
000000000000000000000000000000000000201021,2,0.0
000000000000000000000000000200000010201021,1,-1.0
000000000000000000001000000200000210201021,1,-1.0
000000000000000000001000001200000210221021,1,-1.0
000000000000000000011000001202000210221021,1,-1.0
000000000000100000011000001202020210221021,1,-1.0
000000000000000000000000000000000000002100,15,-0.3333333333333334
000000000000000000000000200000010000002100,2,0.0
000000000000000000000000220000011000002100,2,0.0
000000000000000000100000220000011000202100,1,1.0
000000000000000002100000220000011000212100,1,1.0
000000000010000002100000220000011000212102,1,1.0
000000000010000002100000220002111000212102,1,1.0
000000000010000022100001220002111000212102,1,1.0
000000000210000022100001220002111001212102,1,1.0
000000000210000022100001220202111011212102,1,1.0
000000000210000222100011220202111011212102,1,1.0
